date,atoll,island,habitat,status,transect,depth,cover,rugosity,coral_prod,cca_prod,cca_site,gross_prod,macro_ero,micro_ero,urchin_ero,parrot_ero,gross_ero,net_prod,coral_prod_2.0,gross_prod_2.0,net_prod_2.0,competitive,generalist,comp_2.7,gen_1.6,coral_prod_taxa,gross_prod_taxa,net_prod_taxa,
20/10/2023,SA,Ile de la Passe,lagoon,birdy,1.000,1.200,29.188,1.970,4.208,0.284,0.209,4.492,0.118,0.365,0.000,1.356,1.839,2.653,8.416,8.625,6.787,2.875,1.333,7.763,2.132,9.895,10.104,8.266,
20/10/2023,SA,Ile de la Passe,lagoon,birdy,2.000,1.200,45.273,1.756,6.011,0.226,0.167,6.238,0.080,0.326,0.000,1.356,1.762,4.476,12.022,12.189,10.427,5.959,0.053,16.089,0.084,16.173,16.339,14.578,
20/10/2023,SA,Ile de la Passe,lagoon,birdy,3.000,1.200,59.600,1.901,8.581,0.205,0.151,8.786,0.063,0.355,0.000,1.356,1.774,7.012,17.162,17.313,15.539,7.895,0.686,21.317,1.097,22.414,22.565,20.792,
20/10/2023,SA,Ile de la Passe,lagoon,birdy,4.000,1.200,56.763,1.878,8.775,0.222,0.164,8.998,0.069,0.351,0.000,1.356,1.776,7.222,17.550,17.714,15.938,6.676,1.510,18.025,2.416,20.442,20.605,18.829,
17/10/2023,SA,Ile Anglaise,lagoon,ratty,1.000,1.500,43.020,1.934,7.175,0.116,0.143,7.291,0.085,0.355,0.000,0.747,1.187,6.104,7.175,7.318,6.131,4.606,2.569,4.606,2.569,7.175,7.318,6.131,
17/10/2023,SA,Ile Anglaise,lagoon,ratty,2.000,1.500,37.313,2.002,9.857,0.236,0.290,10.093,0.094,0.356,0.000,0.747,1.196,8.897,9.857,10.147,8.951,2.144,7.712,2.144,7.712,9.857,10.147,8.951,
17/10/2023,SA,Ile Anglaise,lagoon,ratty,3.000,1.500,47.951,1.781,7.218,0.177,0.217,7.008,0.066,0.321,0.000,0.747,1.133,5.874,7.218,7.048,6.301,5.589,1.629,5.589,1.629,7.218,7.435,6.301,
17/10/2023,SA,Ile Anglaise,lagoon,ratty,4.000,1.500,37.947,2.840,9.325,0.304,0.373,9.216,0.110,0.477,0.000,0.747,1.333,7.883,9.325,9.285,8.365,6.578,2.747,6.578,2.747,9.325,9.698,8.365,
22/10/2023,PB,Grande Coquillage,lagoon,birdy,1.000,1.500,24.968,1.558,4.914,0.376,0.277,5.289,0.087,0.289,0.041,3.045,3.462,1.828,9.828,10.104,6.643,0.557,4.357,1.504,6.971,8.475,8.752,5.290,
22/10/2023,PB,Grande Coquillage,lagoon,birdy,2.000,1.500,21.378,1.567,5.490,0.500,0.368,5.990,0.102,0.293,0.010,3.045,3.450,2.539,10.979,11.348,7.897,1.026,4.464,2.769,7.142,9.912,10.280,6.829,
22/10/2023,PB,Grande Coquillage,lagoon,birdy,3.000,1.500,17.362,1.630,3.464,0.440,0.324,3.904,0.093,0.299,0.072,3.045,3.508,0.396,6.928,7.253,3.744,1.351,2.113,3.648,3.381,7.029,7.353,3.845,
22/10/2023,PB,Grande Coquillage,lagoon,birdy,4.000,1.500,7.677,1.485,1.684,0.534,0.393,2.217,0.111,0.271,0.073,3.045,3.500,-1.283,3.367,3.760,0.260,0.678,1.006,1.829,1.610,3.439,3.832,0.332,
24/10/2023,PB,Ile Poule,lagoon,ratty,1.000,2.000,18.028,1.454,2.808,0.314,0.385,3.121,0.087,0.271,0.089,1.034,1.481,1.640,2.808,3.193,1.712,0.721,2.086,0.721,2.086,2.808,3.193,1.712,
