date,atoll,island,habitat,status,transect,depth,urchins,parrotfish,molluscs,algae,forams,sponge,sediment,coral,cca,pebble,gravel,>2000,1000-2000,500-1000,250-500,125-250,63-125,31-63,16-31,8-16,<8,<63,parrotfish_biomass
20/10/2023,SA,Ile de la Passe,lagoon,birdy,1,1.2,0,2.12065172,0.004567455,0.000206293,0.035531161,0.048489767,2.209446396,2.063108901,0.106032586,0.004572026,0.033049059,0.037621084,0.471085746,0.637671878,0.490195847,0.258781523,0.141182241,0.108612517,0.040702835,0.015840882,0.007751842,0.172908076,204.0829949
20/10/2023,SA,Ile de la Passe,lagoon,birdy,2,1.2,0,1.403497999,0.004633455,0.001218479,0.035531161,0.032874419,1.477755512,1.366197518,0.0701749,0.004660453,0.024114645,0.028775098,0.315054118,0.425374208,0.326827022,0.172602004,0.093423442,0.072569763,0.027482574,0.010490845,0.005156438,0.11569962,158.6137222
20/10/2023,SA,Ile de la Passe,lagoon,birdy,3,1.2,0,0.582878263,0.022925273,0.008346355,0.035531161,0.025888605,0.675569657,0.579622955,0.029143913,0.022925273,0.014988694,0.037913967,0.137527874,0.180877884,0.137872184,0.074233233,0.040878308,0.039185072,0.012300642,0.004333853,0.002100284,0.057919852,50.05163137
20/10/2023,SA,Ile de la Passe,lagoon,birdy,4,1.2,0,1.312698217,0.000264,0.007014716,0.035531161,0.028354186,1.38386228,1.275417492,0.065634911,0.000296382,0.023009279,0.02330566,0.295753531,0.398940511,0.305949934,0.161343686,0.086795878,0.066014015,0.025590416,0.009798479,0.004816857,0.106219767,177.469214
17/10/2023,SA,Ile Anglaise,lagoon,ratty,1,1.5,0,1.266009222,0.018225818,0,0.024509943,0.03477456,1.343519544,1.237483321,0.063300461,0.018225818,0.017273353,0.035499171,0.278307765,0.382180921,0.296655931,0.15790241,0.084778183,0.069145146,0.024754611,0.009534993,0.004760413,0.108195163,76.73477812
17/10/2023,SA,Ile Anglaise,lagoon,ratty,2,1.5,0,0.051571214,0.018181818,0,0.024509943,0.03844992,0.132712896,0.087442574,0.002578561,0.018181818,0.004112931,0.02229475,0.014276625,0.019125088,0.016809007,0.013378303,0.010547894,0.031072574,0.004575356,0.000433654,0.000199646,0.036281229,16.25363649
17/10/2023,SA,Ile Anglaise,lagoon,ratty,3,1.5,0,1.372333855,0.000066,0,0.024509943,0.02699976,1.423909558,1.330716922,0.068616693,0.000066,0.018615022,0.018681022,0.30028625,0.412551426,0.321428656,0.171592602,0.090677798,0.067228296,0.025944626,0.010355338,0.005163545,0.108691805,96.22506316
17/10/2023,SA,Ile Anglaise,lagoon,ratty,4,1.5,0,0.294531808,0.054545455,0,0.024509943,0.0450585,0.418645706,0.324863718,0.01472659,0.054545455,0.006663662,0.061209117,0.068503287,0.093031666,0.072553098,0.041289608,0.025834669,0.043733593,0.009155722,0.002224469,0.001110477,0.056224261,12.86197936
22/10/2023,PB,Grande Coquillage,lagoon,birdy,1,1.5,0.041297343,3.69589982,0,0.022768932,0.020344666,0.03555204,3.815862801,3.569370407,0.203378795,0.003313574,0.058962104,0.062275678,0.816495251,1.120995865,0.860021532,0.4541037,0.242066781,0.153710214,0.067786828,0.026185644,0.012228586,0.259911273,493.5270392
22/10/2023,PB,Grande Coquillage,lagoon,birdy,2,1.5,0.010021347,0.304288306,0.000022,0.001646092,0.020344666,0.04198392,0.378306331,0.336569552,0.019724022,0.000261557,0.006179041,0.006440597,0.053634749,0.082114004,0.083784513,0.056255685,0.034425582,0.046973016,0.010690488,0.002698216,0.001297375,0.061659094,112.2620834
22/10/2023,PB,Grande Coquillage,lagoon,birdy,3,1.5,0.143093069,4.510599657,0.018313818,0.009131603,0.020344666,0.03806118,4.739543994,4.401832042,0.289921864,0.019642745,0.059950872,0.079593617,0.987871507,1.377958304,1.087035277,0.582409895,0.304146579,0.189847985,0.081277251,0.033260807,0.016166111,0.320552154,453.6599185
22/10/2023,PB,Grande Coquillage,lagoon,birdy,4,1.5,0.145047716,3.663782363,0.000044,0.002238845,0.020344666,0.04572996,3.877187551,3.606099449,0.248460591,0.00036982,0.045100535,0.045470355,0.815434134,1.126850969,0.89329275,0.477461964,0.247495099,0.163309848,0.066690333,0.027484857,0.013724462,0.2712095,211.5283447
24/10/2023,PB,Ile Poule,lagoon,ratty,1,2,0.089460531,2.999613443,0,0.000967229,0.167571323,0.03555204,3.293164565,2.934388102,0.190237911,0.000140761,0.053217552,0.053358313,0.744631048,1.074464437,0.790701119,0.313541158,0.160277896,0.105768043,0.034292416,0.012488815,0.003668775,0.156218049,401.5374112
24/10/2023,PB,Ile Poule,lagoon,ratty,2,2,0.002767308,0.364940169,0,0.002712083,0.167571323,0.04032294,0.578313822,0.38853812,0.019492297,0.000414121,0.008563882,0.008978003,0.099399005,0.150308261,0.178266375,0.059888034,0.028177189,0.041459951,0.009129073,0.002002099,0.00070583,0.053296954,83.83715988
