"island","habitat","status","cover_mean","rugosity_mean","coral_prod_mean","cca_prod_mean","cca_site_mean","gross_prod_mean","macro_ero_mean","micro_ero_mean","urchin_ero_mean","parrot_ero_mean","gross_ero_mean","net_prod_mean","coral_prod_2.0_mean","gross_prod_2.0_mean","net_prod_2.0_mean","cover_sd","rugosity_sd","coral_prod_sd","cca_prod_sd","cca_site_sd","gross_prod_sd","macro_ero_sd","micro_ero_sd","urchin_ero_sd","parrot_ero_sd","gross_ero_sd","net_prod_sd","coral_prod_2.0_sd","gross_prod_2.0_sd","net_prod_2.0_sd"
"Ile de la Passe","lagoon","high",47.706,1.87625,6.89375,0.23425,0.17260526325,7.1285,0.0825,0.34925,0,1.355679892,1.787429892,5.341070108,13.7875,13.9601052645,12.1726753715,13.8122204104433,0.089190339536671,2.18924756861043,0.034393555597912,0.025342619872551,2.15920193590132,0.0246914290122436,0.0165806111668619,0,0,0.0347215111038292,2.18357281765459,4.37849513722085,4.35621598031424,4.38061896282292
"Ile de la Passe","shallow","high",29.0095424325,1.4205,4.3397133165,0.4481625,0.330225,4.7878758165,0.077916,0.26409075,0.19934487975,1.656371443,2.19772307275,2.59015274375,8.6794266335,9.0096516335,6.811928561,6.90525315435682,0.18342755154738,1.82744245954495,0.0254204450197081,0.018730854225048,1.80779413589802,0.00279378691623633,0.0325238017393929,0.15081359545573,0,0.163909994624889,1.70929167760605,3.65488491892741,3.64037395112526,3.53916443077389
"Ile de la Passe","deep","high",41.6666059,1.85325,9.52375428825,0.305805,0.22533,9.829559288,0.063723,0.564026,0.000106435,1.803577566,2.431433001,7.398126287,9.52375428825,9.749084288,7.31765128725,3.30139772627169,0.0797804278420883,0.563756636767841,0.0207952374355284,0.0153228065314419,0.551109742476871,0.00259142817766575,0.0306452416208455,0.000122900551802396,0,0.0311750364364229,0.536361443145529,0.563756636767841,0.554390219551917,0.539448451287284
"Ile Anglaise","lagoon","low",41.5574981275,2.13925,8.193598574,0.2081925,0.255675,8.401791075,0.0883865,0.377366,0,0.746551077,1.212303577,7.189487498,8.193598574,8.449273575,7.236969997,4.96867291314477,0.476220799629752,1.43497415904419,0.0803213061709034,0.0986402005607585,1.49440738309891,0.0183269981811898,0.0684195154323677,0,0,0.0852159578072089,1.44944459163578,1.43497415904419,1.5082334080657,1.46286654027664
"Ile Anglaise","shallow","low",36.9870387525,1.66925,7.42323862825,0.48678,0.5978,7.91001862825,0.081958,0.31018625,0.00207548075,4.388523204,4.78274293475,3.1272756935,7.42323862825,8.02103862825,3.2382956935,12.8984749566924,0.146431724704724,2.64393233220916,0.0582851130221088,0.0715782089745196,2.59646108433486,0.0138995795619868,0.0308466405342624,0.00243563138777763,0,0.0322707912661379,2.58918546727493,2.64393233220916,2.58569624930661,2.57836275401166
"Ile Anglaise","deep","low",48.2818000425,1.864,10.72642359775,0.3204825,0.393575,11.04690609775,0.057783,0.576859,0,3.643146619,4.277788619,6.76911747875,10.72642359775,11.11999859775,6.84220997875,7.92085094237261,0.129377999160084,2.66427745976826,0.102625725941403,0.126031593261372,2.58461099990112,0.00697739980221859,0.038694868953562,0,0,0.0343641534645236,2.55496705905282,2.66427745976826,2.56666982537261,2.53692486806108
"Grande Coquillage","lagoon","high",17.84626713925,1.56,3.88778294025,0.46227,0.34062,4.35005294025,0.0981475,0.2878865,0.04884727075,3.045276994,3.48015826475,0.8698946755,7.7755658805,8.11618588,4.63602761575,7.4575958452984,0.059380131357214,1.69866925072518,0.0695041710978557,0.0512135997563147,1.66517325193327,0.0108712923948045,0.011781,0.0296664296546856,0,0.0283644454699379,1.68959884470598,3.39733850145037,3.37214543694594,3.39640249996189
"Grande Coquillage","shallow","high",11.83205599875,1.389111111,1.48102607075,0.2805508335,0.206721667,1.761576904,0.0913965,0.245146611,0.16246887475,0.386700245,0.885712231,0.875864673,2.9620521415,3.1687738085,2.28306157725,3.75948002127678,0.0798510959804807,0.43223160630509,0.081699842657945,0.06019988428249,0.4495834704262,0.00728058652386761,0.00887308411474323,0.12274371460385,0,0.11026917032705,0.470118544091807,0.86446321261018,0.87386101413244,0.880137473962979
"Grande Coquillage","deep","high",37.75666403,1.579,6.10821083175,0.14991,0.11046,6.25812083175,0.055869,0.48256775,0.004310614,2.326790189,2.86953755325,3.3885832785,6.10821083175,6.21867083175,3.3491332785,10.3265407761702,0.0930841912822293,1.5399645367009,0.032233991375565,0.0237513620662058,1.51327868085104,0.0123169156853492,0.0239894643176958,0.00344724308484921,0,0.0332759299235401,1.52297415478919,1.5399645367009,1.52028042753091,1.53000666156816
"Ile Poule","lagoon","low",18.5664990275,1.56333333325,3.3650227575,0.37088,0.4554666665,3.7359027575,0.10158272225,0.29210958325,0.0251265275,1.034181438,1.453000271,2.2829024865,3.3650227575,3.820489424,2.367489153,3.2165471293606,0.0994071312778359,0.856048800094657,0.125154914093398,0.15369901714089,0.966898547422255,0.0126584903182507,0.0189345899265002,0.0429985286673985,0,0.0265612821473886,0.978960504537949,0.856048800094657,0.992656478141285,1.00445080118808
"Ile Poule","shallow","low",15.8383087,1.7155,2.4846321205,0.380475,0.46725,2.8651071205,0.118465,0.320705,0.0875133425,1.695176848,2.22186018975,0.64324693075,2.4846321205,2.9518821205,0.73002193075,2.68791058294705,0.0524753910577774,0.215938573295838,0.10446251145746,0.12828729477232,0.186926757447408,0.00750437268086636,0.00985142788296872,0.114591261197989,0,0.10322661480672,0.231652527034504,0.215938573295838,0.187969089368373,0.242226970601228
"Ile Poule","deep","low",28.84901989,1.611,4.9019960855,0.19437,0.2387,5.0963660855,0.0663465,0.4802985,0.01107746375,4.28154901,4.83927147375,0.25709461175,4.9019960855,5.1406960855,0.30142461175,4.11297821756554,0.13007946289352,1.00109983189762,0.0518438945296358,0.0636679406504299,0.96144817306595,0.00847209259864409,0.0344257315535923,0.00840003487173513,0,0.0361033420966956,0.968390312455899,1.00109983189762,0.952568828216341,0.959406867311633
"Middle Brother","lagoon","high",16.242072155,1.32675,2.2169314315,0.0719625,0.053025,2.2888939315,0.065446,0.19910825,0,0.994873955,1.259428205,1.0294657265,4.433862863,4.486887863,3.227459658,4.26978062402372,0.0787458993641362,0.506090488808956,0.0442680632623565,0.0326185729301574,0.464541698507764,0.00388240234906173,0.00862416076593349,0,0,0.0120956367167394,0.464037345039516,1.01218097761791,0.981455434344643,0.980816499603641
"Middle Brother","shallow","high",36.91643,1.4855,4.26595098125,0.1608825,0.118545,4.42683348125,0.076368,0.277321,0.741544005,1.138314422,2.233547427,2.19328605425,8.5319019635,8.6504469635,6.4168995355,10.1759230387561,0.0654955469224181,1.59459239122873,0.0802322667322817,0.0591185123290497,1.63284026399439,0.0131756939855174,0.0122975309988089,0.824040778753935,0,0.838942357469109,1.94531987604333,3.18918478335666,3.21664783923123,3.45450482203574
"Middle Brother","deep","high",32.42118025,1.6655,5.47154278925,0.1534725,0.113085,5.62501528925,0.067353,0.51152025,2.33976155875,1.138314422,4.05694923075,1.5680660585,5.47154278925,5.58462778925,1.5276785585,7.09041601592708,0.268887213034263,1.47750697290747,0.0727167135189703,0.053580736277136,1.5223232309891,0.0111697403729899,0.0811164828066199,2.67168680631947,0,2.74999513875631,2.16069506924608,1.47750697290747,1.51031898816509,2.17060515268133
"Eagle","lagoon","low",20.31863511,1.37175,2.58953269675,0.19779,0.2429,2.78732269675,0.08557,0.24277275,0,0.426128206,0.754470956,2.03285174075,2.58953269675,2.83243269675,2.07796174075,2.39821620846469,0.0657793027225636,0.273782518192774,0.0501751113601156,0.0616185578106683,0.314206611543673,0.00364799524853492,0.0119537473726861,0,0,0.0146092581234184,0.300212978276817,0.273782518192774,0.32380844161702,0.309787863605387
"Eagle","shallow","low",14.2360451225,1.4765,2.38542955275,0.029355,0.03605,2.41478455275,0.0947935,0.249271,0.000106435,0.32479873,0.66896966475,1.745814888,2.38542955275,2.42147955275,1.752509888,3.36376876115701,0.110810649307727,0.491991599039958,0.0194831080682729,0.023926623943493,0.503958718162277,0.014209076570981,0.0269608780766997,0.00021287,0,0.0404764347188793,0.512788595892658,0.491991599039958,0.506753389657726,0.515763960163301
"Eagle","deep","low",39.108423405,1.33025,6.04921354525,0.0474525,0.058275,6.09666604525,0.0453585,0.39930975,0.101305656,2.083536451,2.629510357,3.46715568825,6.04921354525,6.10748854525,3.47797818825,15.3259901145196,0.0691055955283892,2.65665811146149,0.0232206508306723,0.0285165887394221,2.66429002904149,0.0104646082105352,0.0210298967722145,0.165363533408147,0,0.172640100682562,2.58832839716403,2.65665811146149,2.66605590550456,2.58989486778882
