"date","atoll","island","location","status","transect","depth","habitat","comparison","pebble",">2000","1000-2000","500-1000","250-500","125-250","63-125","31-63","16-31","8-31","<8","clay","mean_grainsize","N","d15N","Corg","CN","Coral","Halimeda","Mollusc","Foraminifera","Crustacea","Echinoderms","Soft coral","CCA","Other","framework"
2021,"Salomon","Ile de la Passe","Outer reef","high",1,5,"shallow","y",0,14.56093012,26.83028451,31.12178088,18.73933574,7.682234832,0.8511567,0.214277211,0,0,0,0,0.650118398,0.034,6.531,0.204,6,69.47716051,0.835831125,4.85863679,5.341847192,2.513963908,1.221515653,1.342477794,11.18154374,3.227023293,80.65870425
2021,"Salomon","Ile de la Passe","Outer reef","high",1,10,"deep","y",0,5.057540128,16.16116229,42.7818967,29.89590354,5.21231184,0.728924836,0.162260666,0,0,0,0,0.467918445,0.03,5.861,0.192,6.4,74.4481697,1.231966412,8.593523336,4.250854303,1.103315912,0.758281264,2.94805035,4.029877967,2.635960753,78.47804767
2023,"Salomon","Ile de la Passe","Lagoon","high",1,1.2,"lagoon","y",0,3.091443757,11.12786465,29.9589307,29.33747636,18.26209378,8.222190751,0,0,0,0,0,0.521560987,NA,NA,NA,NA,75.1835622,2.218536239,5.791725688,3.957418314,1.36358722,0.870743714,0,6.193291969,4.421134659,81.37685417
2021,"Salomon","Ile Anglaise","Outer reef","low",1,5,"shallow","y",0,21.10493603,24.42043664,27.53856542,15.44867467,9.492892882,1.623989335,0.37050503,0,0,0,0,0.733069262,0.035,7.851,0.231,6.6,69.54570285,4.077018854,7.083233126,4.467591585,1.514435394,1.469840347,0.959950317,7.807543455,3.074684073,77.3532463
2021,"Salomon","Ile Anglaise","Outer reef","low",1,10,"deep","y",0,0.996902281,3.677837229,24.40720924,51.74035483,17.5443537,1.410870177,0.222472543,0,0,0,0,0.406460926,0.024,6.441,0.187,7.791666667,78.57634623,1.065020897,6.09796336,5.257864109,1.587863241,0.805524738,1.118286167,2.334167404,3.156963857,80.91051363
2023,"Salomon","Ile Anglaise","Lagoon","low",1,1.5,"lagoon","y",0,1.971862606,10.91945421,29.06034074,29.86105914,19.57394797,8.613335329,0,0,0,0,0,0.51567743,NA,NA,NA,NA,67.77881327,1.036321842,9.3499579,3.28770006,3.100764967,2.628626247,0.426440876,7.746361717,4.645013117,75.52517499
2021,"Peros Banhos","Ile Poule","Outer reef","low",1,5,"shallow","y",0,7.829339419,21.9189806,37.76784582,23.43730189,6.960821605,1.337644225,0.748066438,0,0,0,0,0.543970141,0.028,7.086,0.205,7.321428571,80.30495703,0.708356737,6.395752735,2.742847796,1.453611922,1.047564414,2.264037806,3.523307456,1.559564109,83.82826448
2021,"Peros Banhos","Ile Poule","Outer reef","low",1,10,"deep","y",0,6.879566982,11.80514208,25.05006766,33.15290934,19.0473613,3.442489851,0.622462788,0,0,0,0,0.551477537,0.037,6.259,1.035,27.97297297,76.81584579,0.365378073,6.944269008,5.159717282,0.215239467,0.280049002,4.233671843,4.022396438,1.963433097,80.83824223
2023,"Peros Banhos","Ile Poule","Lagoon","low",1,1.5,"lagoon","y",0,16.26042335,10.67317106,5.702035718,48.96526113,18.10877418,0.29033456,0,0,0,0,0,0.610104655,NA,NA,NA,NA,51.74690376,5.795447143,8.879062405,19.40472079,0.538342028,0.977578265,0.198131617,7.538712193,4.921101794,59.28561596
2023,"Peros Banhos","Grande Coquillage","Outer reef","high",1,5,"shallow","y",0,0.743494424,6.740548502,55.42540506,36.45226906,0.585677211,0.04208459,0.010521148,0,0,0,0,0.343732728,0.033,7.129,0.342,10.36363636,60.55197058,16.21784135,5.509539292,2.820076568,0.066183889,0.245142096,11.91214188,1.747144785,0.929959551,62.29911537
2021,"Peros Banhos","Grande Coquillage","Outer reef","high",1,10,"deep","y",0,2.505742326,7.278584852,43.81469439,41.22841035,4.805655818,0.325149897,0.041762372,0,0,0,0,0.381377338,0.018,7.915,0.198,11,47.41240021,31.88441842,7.132765729,2.836837732,1.494799421,0.246316468,5.007651411,2.561837437,1.422973173,49.97423764
2023,"Peros Banhos","Grande Coquillage","Lagoon","high",1,1.5,"lagoon","y",0,12.81765034,14.58523067,20.92501738,32.84859524,15.40194091,3.421565459,0,0,0,0,0,0.60881812,NA,NA,NA,NA,61.07565201,11.6960059,7.647095752,3.659588537,1.086220683,1.445116052,1.762685983,7.181715688,4.445919394,68.2573677
2021,"Great Chagos Bank","Middle Brother","Outer reef","high",1,5,"shallow","y",0,11.36170814,9.827488688,42.36425339,34.69669118,1.67915724,0.06716629,0.001767534,0,0,0,0,0.484350785,0.027,6.323,0.193,7.148148148,68.78085709,15.24090764,4.876321947,1.624307442,0.887519065,0.91220951,5.485751086,1.561355584,0.630770628,70.34221268
2021,"Great Chagos Bank","Middle Brother","Outer reef","high",1,10,"deep","y",0,3.908115562,4.375609592,29.69764235,52.9378132,8.630141594,0.380049104,0.070628594,0,0,0,0,0.386234991,0.026,6.562,0.161,6.192307692,73.91906603,12.81714496,4.08231728,2.960197248,0.206263336,0.345684499,4.679154256,0.761628325,0.22854406,74.68069436
2023,"Great Chagos Bank","Middle Brother","Lagoon","high",1,1.5,"lagoon","y",0,6.766649897,30.94217858,48.17584095,11.91124681,2.078309595,0.125774162,0,0,0,0,0,0.556991482,NA,NA,NA,NA,63.67389728,13.4490908,4.504959498,2.15812613,0.317351859,0.160491105,5.006708759,7.186663455,3.542711113,70.86056074
2023,"Great Chagos Bank","Eagle","Outer reef","low",1,4,"shallow","y",0,1.31928066,6.545732606,27.87348909,23.25784935,32.20537294,8.798275354,0,0,0,0,0,0.576786165,NA,NA,NA,NA,53.95860558,8.43731708,13.26490064,4.860410126,0.882917498,1.946436716,1.790784375,9.291602576,5.567025406,63.25020816
2021,"Great Chagos Bank","Eagle","Outer reef","low",1,10,"deep","y",0,24.18132991,18.16505672,34.4101968,17.45160127,4.982163614,0.641308269,0.168343421,0,0,0,0,0.712369834,0.035,6.091,0.256,7.314285714,64.5757742,21.62360935,6.52736736,1.162726186,0.365256978,0.547885466,1.419797917,2.787177343,0.990405196,67.36295155
2023,"Great Chagos Bank","Eagle","Lagoon","low",1,1.2,"lagoon","y",0,7.838251119,12.37356289,46.17885258,30.3924789,3.075267599,0.141586906,0,0,0,0,0,0.47048536,NA,NA,NA,NA,58.49330044,13.96100527,4.884196067,6.968056478,0.73174674,0.801627603,1.311095927,7.290404302,5.558567169,65.78370475
