"habitat","island","urchins_ratio","parrotfish_ratio","molluscs_ratio","algae_ratio","forams_ratio","sponge_ratio","coral_ratio","cca_ratio"
"lagoon","Ile de la Passe",0,0.943113193772658,0.00563637494116349,0.00292098704263278,0.0247318078432401,0.0235976365743205,0.919555170649645,0.0471556596973337
"shallow","Ile de la Passe",0.104537857293884,0.868244170428542,3.1726625605893e-05,0.00297292640917157,0.00742283369492553,0.0167904854167687,0.899118268960067,0.0904542443102302
"deep","Ile de la Passe",5.69885692684091e-05,0.96510630676745,2.94486899024052e-06,0.0119100610897424,0.0139493014800137,0.00897439722453465,0.925856732252931,0.0482809601744647
"lagoon","Ile Anglaise",0,0.899257911376184,0.0274254032248879,0,0.0295408386266578,0.043775846169641,0.898070862263264,0.0449628955838749
"shallow","Ile Anglaise",0.000870270860690851,0.961809382395461,0,0.00373310046971243,0.0134191903073416,0.0201680557809634,0.934365618030031,0.0484820910070839
"deep","Ile Anglaise",0,0.984006277961291,0.000307116198806801,0.00638241649372886,0.00519656022787277,0.00410762911830032,0.938913593188283,0.0492003139588736
"lagoon","Grande Coquillage",0.0264977056304439,0.950328977872537,0.00143470146739941,0.00279336113066955,0.00635229840990828,0.012592955332925,0.929979222412482,0.0594404165014822
"shallow","Grande Coquillage",0.272391751858838,0.647823550262246,1.84376614733202e-05,0.00353466899569083,0.0132794055313097,0.0629521852714045,0.828200021731466,0.154967465661023
"deep","Grande Coquillage",0.00181115320897478,0.977298278852591,0.00338147731003055,0.00382270802514261,0.00751201147426074,0.00617437123404104,0.93560387046671,0.0496799329339363
"lagoon","Ile Poule",0.0196940261567184,0.810513543345504,0.00102795136491554,0.0047048010184954,0.131341428626694,0.0327182434132678,0.813537823791541,0.0493879889280011
"shallow","Ile Poule",0.0473256984729248,0.916310974316597,0.000148715232537876,0,0.00988885237534858,0.0263257597377872,0.9228503195933,0.0671121129340091
"deep","Ile Poule",0.00254514362821685,0.983731444522414,0.00262858566830645,0.00264025430833016,0.00444502064198251,0.00400955117331078,0.939954252445019,0.0503318868789221
"lagoon","Middle Brother",0,0.936609805610607,0.00431120698156198,0.0147996465842009,0.0189554068087108,0.0253239340149198,0.915103249556863,0.0468304905394784
"shallow","Middle Brother",0.384485571102248,0.589946015190455,0.0018388835415116,0.000523825318490803,0.00693439060532142,0.01627131411235,0.788187092720811,0.202515807684241
"deep","Middle Brother",0.666376875137687,0.324054062295978,2.34964507358731e-05,0.00162327024183199,0.00287671631727257,0.00504557941409261,0.679404219942359,0.316072296834196
"lagoon","Eagle",0,0.83574719076554,2.15759183239571e-05,0.00459428091771809,0.0906659983807107,0.0689709535273456,0.862930784901717,0.0417873598815302
"shallow","Eagle",0.00027335307068691,0.834161016327051,0.000197756249757054,0.000977824396830388,0.0643471792900235,0.100042870665651,0.892646180301021,0.0418310597623682
"deep","Eagle",0.0459417663359759,0.944415917394608,0.000563316985514802,0.00168200195549575,0.00198648816119719,0.00541051324867758,0.927873606093949,0.0678945907719379
